Source.Name,upload_date*,licence_number,reference_number,subservice_id*,licence_category*,area_id*,area_name*,account_number*,licensee_name*,contact_name,business_telephone,email_address,location,station_type,technology,cell_id,physical_id,province_code,latitude,longitude,site_type,structure_height,structure_type,date_last_changed,record_id,tx_frequency,rx_frequency,tx_radio_model_number,rx_radio_model_number,tx_radio_manufacturer_code,rx_radio_manufacturer_code,tx_certification_no,rx_certification_no,bandwidth,class_emission,tx_power,downlink_allocation,tx_ant_type,rx_ant_type,tx_number_antennas,rx_number_antennas,tx_ant_model_no,rx_ant_model_no,tx_ant_manufacturer,rx_ant_manufacturer,tx_ant_height,rx_ant_height,tx_ant_omni_indicator,rx_ant_omni_indicator,tx_ant_horiz_beamwidth,rx_ant_horiz_beamwidth,tx_ant_vert_beamwidth,rx_ant_vert_beamwidth,tx_ant_azimuth,rx_ant_azimuth,tx_ant_elevation_angle,rx_ant_elevation_angle,tx_ant_gain,rx_ant_gain,tx_line_loss,rx_line_loss,Tier-4 id,TEL id
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ005939-259 9E RANG,FX,LTE,302220-11654-53881108,424,QC,46.520292,-70.499921,O,76,T,14/12/2022,PQ005939,753.5,784.5,RF4428t-71A,RF4428t-71A,649E,649E,649E-RF4428T71A,649E-RF4428T71A,5,5M00V7WEW,46,100,NAU,NAU,4,4,T2008L6R033,T2008L6R033,Tongyu Communication,Tongyu Communication,76,76,D,D,67,67,9.5,9.5,65,65,-4,-4,15,15,1,1,4-029,TEL-014
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ005939-259 9E RANG,FX,LTE,302220-11654-53881109,426,QC,46.520292,-70.499921,O,76,T,14/12/2022,PQ005939,753.5,784.5,RF4428t-71A,RF4428t-71A,649E,649E,649E-RF4428T71A,649E-RF4428T71A,5,5M00V7WEW,46,100,NAU,NAU,4,4,T2008L6R033,T2008L6R033,Tongyu Communication,Tongyu Communication,76,76,D,D,67,67,9.5,9.5,165,165,-4,-4,15,15,1,1,4-029,TEL-014
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ005939-259 9E RANG,FX,LTE,302220-11654-53881110,467,QC,46.520292,-70.499921,O,76,T,14/12/2022,PQ005939,753.5,784.5,RF4428t-71A,RF4428t-71A,649E,649E,649E-RF4428T71A,649E-RF4428T71A,5,5M00V7WEW,46,100,NAU,NAU,4,4,T2008L6R033,T2008L6R033,Tongyu Communication,Tongyu Communication,76,76,D,D,67,67,9.5,9.5,285,285,-4,-4,15,15,1,1,4-029,TEL-014
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ0494-290 2E RANG O,FX,LTE,302220-11654-31298836,207,QC,46.854486,-70.909286,O,118,T,20/11/2018,PQ0494,753.5,784.5,RRU3269,RRU3269,6369A,6369A,6369A-RRU3269,6369A-RRU3269,5,5M00V7WEW,49,100,NAU,NAU,4,4,TDQ-708017DEI-65FT4v01,TDQ-708017DEI-65FT4v01,Tongyu Communication,Tongyu Communication,60.3,60.3,D,D,67.8,67.8,9,9,1,1,-6,-6,16.1,16.1,1,1,4-029,
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ0494-290 2E RANG O,FX,LTE,302220-11654-31298837,31,QC,46.854486,-70.909286,O,118,T,20/11/2018,PQ0494,753.5,784.5,RRU3269,RRU3269,6369A,6369A,6369A-RRU3269,6369A-RRU3269,5,5M00V7WEW,49,100,NAU,NAU,4,4,TDQ-708017DEI-65FT4v01,TDQ-708017DEI-65FT4v01,Tongyu Communication,Tongyu Communication,60.3,60.3,D,D,67.2,67.2,9,9,93,93,-5,-5,16.1,16.1,1,1,4-029,
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ0494-290 2E RANG O,FX,LTE,302220-11654-31298838,53,QC,46.854486,-70.909286,O,118,T,20/11/2018,PQ0494,753.5,784.5,RRU3269,RRU3269,6369A,6369A,6369A-RRU3269,6369A-RRU3269,5,5M00V7WEW,49,100,NAU,NAU,4,4,TDQ-708017DEI-65FT4v01,TDQ-708017DEI-65FT4v01,Tongyu Communication,Tongyu Communication,60.3,60.3,D,D,67.2,67.2,9,9,211,211,-3,-3,16.1,16.1,1,1,4-029,
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ0495-180 Rte DE SAINT-FRANCOIS,FX,LTE,302220-11654-31299092,447,QC,46.912186,-70.714891,O,60,T,29/06/2017,PQ0495,753.5,784.5,RRU3269,RRU3269,6369A,6369A,6369A-RRU3269,6369A-RRU3269,5,5M00V7WEW,49,100,NAU,NAU,4,4,T2008L6R033,T2008L6R033,Tongyu Communication,Tongyu Communication,45.9,45.9,D,D,67,67,9.5,9.5,47,47,-2,-2,15,15,1,1,4-029,
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ0495-180 Rte DE SAINT-FRANCOIS,FX,LTE,302220-11654-31299093,55,QC,46.912186,-70.714891,O,60,T,29/06/2017,PQ0495,753.5,784.5,RRU3269,RRU3269,6369A,6369A,6369A-RRU3269,6369A-RRU3269,5,5M00V7WEW,49,100,NAU,NAU,4,4,T2008L6R033,T2008L6R033,Tongyu Communication,Tongyu Communication,45.9,45.9,D,D,67,67,9.5,9.5,137,137,0,0,15,15,1,1,4-029,
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ0495-180 Rte DE SAINT-FRANCOIS,FX,LTE,302220-11654-31299094,56,QC,46.912186,-70.714891,O,60,T,29/06/2017,PQ0495,753.5,784.5,RRU3269,RRU3269,6369A,6369A,6369A-RRU3269,6369A-RRU3269,5,5M00V7WEW,49,100,NAU,NAU,4,4,T2008L6R033,T2008L6R033,Tongyu Communication,Tongyu Communication,45.9,45.9,D,D,67,67,9.5,9.5,220,220,0,0,15,15,1,1,4-029,
TELUS sectors 4-029.csv,21/08/2025,010288369-001,TELUS 700 Lic,872,MBS,3-009,Quebec,7090900823,TELUS Communications Inc.,dlRAN GISTeam,1 800 391 1391,dlran_gisteam@telus.com,PQ0496-187 CH DES POIRIER,FX,LTE,302220-11654-31299348,225,QC,46.971999,-70.579637,O,76,T,20/11/2018,PQ0496,753.5,784.5,RRU3269,RRU3269,6369A,6369A,6369A-RRU3269,6369A-RRU3269,5,5M00V7WEW,46,100,NAU,NAU,4,4,T2008L6R033,T2008L6R033,Tongyu Communication,Tongyu Communication,64,64,D,D,67,67,9.5,9.5,100,100,-5,-5,15,15,1,1,4-029,
